,sentence,index,words,type,hindi_sentence,hindi_words
0,luckily this kike has never lived under nazi rule and definitely never lived under communist rule both hate kikes for the sand niggers they are,740,kike has never lived under nazi kikes sand niggers,train,सौभाग्य से यह Kike नाजी शासन के तहत कभी नहीं रहा और निश्चित रूप से कम्युनिस्ट नियम के तहत कभी नहीं रहता था,Kike कभी भी नाजी किक सैंड निगर्स के तहत नहीं रहा
1,ohh man that is a fucking sad photo lots of respect for the soldiers not so much for the assholes sending them into harms way in sand nigger countries i mean let the moslems kill each other who the hell cares,12989,sand nigger countries let the moslems kill each other who the hell cares,train,"ओह यार जो कि सैनिकों के लिए एक कमबख्त दुखद फोटो है, जो कि सैंड निगर देशों में उन्हें नुकसान पहुंचाने वाले गधे के लिए बहुत ज्यादा नहीं है।","रेत निगर देशों ने मोस्ले को एक दूसरे को मारने दिया, जो नरक की परवाह करता है"
2,miss lindsey is john mccains boy toy miss lindsey is a demented faggot,12636,demented faggot,train,मिस लिंडसे जॉन मैककेन्स बॉय टॉय मिस लिंडसे एक डिमेंटेड फगोट है,डिम्फ़ फागोट
3,asians dont deserve happiness,12054,asians dont deserve happiness,train,एशियाई लोग खुशी के लायक नहीं हैं,एशियाई लोग खुशी के लायक नहीं हैं
4,<user> sikh community always helpful to others specially they help muslims in india in caa nrc protest allah bless,15220,,train,"<user> सिख समुदाय हमेशा दूसरों के लिए सहायक रूप से उपयोगी है, विशेष रूप से वे भारत में मुसलमानों की मदद करते हैं",#VALUE!
5,this addresses the key factor of why we should say it and what is the problem the refusal of immigrants to assimilate into our current culture if they do not want to assimilate the why the fuck even come here they do it to live free off of us who pay,9113,refusal of immigrants to assimilate into our current culture fuck they do it to live free off of us who pay,train,यह इस प्रमुख कारक को संबोधित करता है कि हमें यह क्यों कहना चाहिए और आप्रवासियों को हमारी वर्तमान संस्कृति में आत्मसात करने से इनकार करने की समस्या क्या है अगर वे इस बात को आत्मसात नहीं करना चाहते हैं कि बकवास क्यों भी यहां आते हैं तो वे इसे हमसे मुक्त करने के लिए करते हैं जो हम से मुक्त करने के लिए करते हैं भुगतान करना,हमारी वर्तमान संस्कृति बकवास में आत्मसात करने के लिए आप्रवासियों को मना कर दिया
6,that fucked up she should have suicided bombed the migrant ghetto abode instead,1385,fucked up she should have suicided bombed the migrant ghetto abode,train,यह गड़बड़ है कि उसे इसके बजाय प्रवासी यहूदी बस्ती के निवास पर बमबारी करनी चाहिए थी,गड़बड़ हो गया है कि उसे प्रवासी यहूदी बस्ती पर बमबारी करनी चाहिए थी
7,<user> <user> she grown and can do what she wants talk to my friends nice bitch,11047,bitch,train,<उपयोगकर्ता> <उपयोगकर्ता> वह बड़ी हो गई और वह कर सकती है जो वह मेरे दोस्तों से बात करना चाहती है,कुतिया
8,look what they would get a nationally disgraced laughing stock who worked at a senior level she would fit right in with a liberal police department driving a black white around in the ghetto as a beat cop not lol,1222,driving a black white around in the ghetto as a beat cop,train,"देखिए कि उन्हें एक राष्ट्रीय स्तर पर अपमानित हंसी का स्टॉक मिलेगा, जो एक वरिष्ठ स्तर पर काम करता था, वह एक उदार पुलिस विभाग के साथ सही फिट होगा",एक बीट पुलिस के रूप में यहूदी बस्ती में एक काले सफेद ड्राइविंग
9,a place that agreed the pubic is retarded and illiterate and needs representation no straight votes no democracy a republics says the aristocrats are holy holy holy and we are disgusting mud stompers lmao never only white people here do that do not tread on them,9503,,train,एक ऐसी जगह जो जघन को सहमत करती है वह मंद है और अनपढ़ है और इसका प्रतिनिधित्व करने की जरूरत है कोई सीधे वोट नहीं,#VALUE!
